                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 2.1313,                 2.7501,                  2.687,                0.50784,                0.51835,                 0.4122,                0.18573,                 2.0055,                  20.33,                 2.5983,              0.0093961,              0.0093961,              0.0093961
                     63,                  2.112,                 2.5497,                 2.7542,                0.58617,                0.28333,                0.34788,                0.14183,                 1.9373,                 5.7994,                 2.4752,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.9699,                 2.4003,                 2.6414,                0.30518,                0.43604,                0.35394,                0.13565,                 1.9097,                 5.8073,                 2.3762,              0.0093763,              0.0093763,              0.0093763
                     65,                  2.101,                 2.4933,                 2.7033,                0.42398,                0.23333,                0.13184,                0.05278,                 2.1904,                 6.0714,                  2.645,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.9717,                 2.5647,                 2.5681,                0.44842,                0.21667,                   0.18,                0.07353,                 2.1223,                  5.692,                 2.5829,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.9631,                 2.5901,                 2.5941,                0.50109,                0.20273,                0.35908,                0.14735,                 1.9404,                 4.9828,                 2.4392,              0.0093466,              0.0093466,              0.0093466
                     68,                 2.0839,                  2.466,                 2.5054,                0.14798,                0.60603,                0.30748,                0.13079,                 1.9497,                 5.1445,                 2.5228,              0.0093367,              0.0093367,              0.0093367
                     69,                 2.0158,                 2.5101,                 2.5407,                0.21343,                0.51364,                0.40817,                0.17783,                 1.8275,                 5.4995,                 2.2673,              0.0093268,              0.0093268,              0.0093268
                     70,                 2.0145,                 2.3853,                  2.645,                0.16544,                0.65152,                0.39851,                0.17961,                 1.8937,                  6.416,                 2.3094,              0.0093169,              0.0093169,              0.0093169
                     71,                 2.1641,                 2.5482,                 2.6538,                0.83226,                0.21399,                0.23803,                0.11778,                 2.0502,                 7.8526,                 2.5423,               0.009307,               0.009307,               0.009307
                     72,                 2.0123,                  2.409,                 2.4968,                0.46418,                0.23333,                0.22514,                0.10208,                 2.2198,                 6.3307,                 2.9131,              0.0092971,              0.0092971,              0.0092971
                     73,                 2.0625,                 2.3796,                 2.5849,                0.16505,                0.41364,                 0.2498,                0.12106,                 2.1411,                 3.2657,                 2.8049,              0.0092872,              0.0092872,              0.0092872
                     74,                 2.1267,                 2.5027,                 2.6038,                0.21783,                 0.4303,                0.31588,                0.14134,                 1.8669,                 3.1091,                 2.4306,              0.0092773,              0.0092773,              0.0092773
                     75,                 2.0749,                 2.3876,                 2.5809,                0.23854,                0.33182,                0.27096,                0.09632,                 1.8621,                 3.3036,                 2.2986,              0.0092674,              0.0092674,              0.0092674
                     76,                 2.0511,                 2.3611,                 2.6368,                0.15089,                0.34945,                0.27051,                  0.094,                 1.9587,                 2.8034,                 2.3672,              0.0092575,              0.0092575,              0.0092575
                     77,                 2.0535,                 2.3683,                 2.5881,                  0.505,                   0.25,                0.26508,                0.11232,                 1.9947,                 2.6602,                 2.3335,              0.0092476,              0.0092476,              0.0092476
                     78,                 2.0679,                 2.4212,                  2.534,                0.83786,                0.24647,                0.23568,                0.11268,                 2.1485,                 4.2747,                  2.603,              0.0092377,              0.0092377,              0.0092377
                     79,                 2.0645,                 2.3725,                 2.5478,                0.83297,                0.26667,                 0.2751,                0.13888,                 2.0165,                 6.2071,                 2.3978,              0.0092278,              0.0092278,              0.0092278
                     80,                  1.944,                 2.2847,                 2.5651,                0.16953,                 0.6803,                0.37335,                0.19044,                 1.7364,                 4.9153,                 2.1028,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.9154,                  2.369,                 2.4504,                0.83033,                0.27342,                0.35492,                0.18477,                 1.7562,                 3.8367,                  2.112,               0.009208,               0.009208,               0.009208
                     82,                 2.2533,                 2.4926,                 2.6201,                0.80742,                   0.25,                0.24283,                0.13486,                 1.9314,                 4.6187,                 2.2264,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.8973,                 2.3076,                  2.449,                0.87164,                0.21667,                0.24189,                0.11927,                 2.0788,                 4.4748,                 2.3521,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.9564,                 2.2266,                 2.4132,                0.84217,                0.22256,                0.25894,                0.13656,                 2.3025,                  3.221,                  2.632,              0.0091783,              0.0091783,              0.0091783
                     85,                      2,                 2.4086,                 2.4797,                0.82099,                   0.25,                 0.1971,                0.09441,                 2.2299,                 2.9678,                 2.5586,              0.0091684,              0.0091684,              0.0091684
                     86,                 2.0767,                 2.3538,                 2.4242,                0.06919,                0.33333,                0.09962,                0.04649,                 1.9491,                 3.3278,                  2.259,              0.0091585,              0.0091585,              0.0091585
                     87,                 2.0026,                 2.3424,                 2.4067,                0.10773,                0.50909,                0.17637,                0.06921,                 1.9537,                 3.6498,                 2.4161,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.9663,                 2.3065,                 2.4628,                0.15574,                0.49091,                0.18433,                0.07034,                 1.9877,                 2.6955,                 2.3636,              0.0091387,              0.0091387,              0.0091387
                     89,                 2.0383,                 2.2841,                 2.5394,                0.46183,                 0.5197,                 0.4297,                0.15912,                 1.8004,                 2.2176,                 2.1569,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.9455,                 2.2176,                 2.3527,                0.34605,                 0.5697,                0.40742,                0.16154,                 1.9167,                 2.1959,                 2.2602,              0.0091189,              0.0091189,              0.0091189
                     91,                 2.0535,                 2.2893,                 2.4698,                0.20315,                0.41061,                0.25759,                0.11958,                  2.096,                 2.3874,                 2.5531,               0.009109,               0.009109,               0.009109
                     92,                 1.9543,                 2.2625,                 2.4362,                0.27725,                0.22798,                0.25253,                0.11169,                 2.0451,                 2.4127,                  2.559,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.9061,                 2.3194,                 2.4437,                0.13541,                0.28513,                  0.223,                0.08278,                 2.0754,                 2.4984,                 2.6138,              0.0090892,              0.0090892,              0.0090892
                     94,                  1.882,                 2.1816,                   2.46,                0.11081,                0.35303,                0.15612,                0.04843,                 2.1942,                  2.796,                 2.7367,              0.0090793,              0.0090793,              0.0090793
                     95,                   1.93,                 2.3255,                 2.4902,                0.13599,                0.38351,                0.17421,                0.04874,                 2.1693,                 2.7633,                 2.7806,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.8637,                 2.2937,                 2.4113,                0.15088,                0.46667,                0.21365,                0.06902,                 2.0456,                 2.6704,                  2.642,              0.0090595,              0.0090595,              0.0090595
                     97,                 2.0389,                 2.4332,                 2.5923,                0.20219,                0.31667,                0.19795,                0.07205,                 1.9913,                 2.6028,                 2.5122,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.8384,                 2.2454,                 2.3978,                0.34425,                0.33182,                0.28836,                0.12087,                 2.0222,                 2.4145,                 2.4209,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.8543,                 2.1756,                 2.4056,                0.47182,                0.53311,                 0.5255,                 0.2227,                 1.8924,                 1.9993,                 2.2228,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.8892,                 2.1976,                 2.3725,                0.45812,                0.72424,                0.53349,                0.29164,                 1.6033,                 2.1224,                 1.8944,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.8397,                 2.1507,                 2.3986,                0.83859,                   0.15,                0.24097,                 0.1233,                  1.923,                 3.3934,                 2.1141,                0.00901,                0.00901,                0.00901
                    102,                 1.8806,                 2.2644,                 2.3738,                 0.8454,                0.21667,                0.22101,                0.11248,                 2.1159,                 4.6793,                 2.3069,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.8471,                  2.073,                 2.3955,                0.80652,                0.13333,                0.12576,                0.06427,                   2.22,                 3.5516,                 2.4829,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.9317,                 2.0976,                 2.4172,                0.04815,                0.42424,                0.05534,                0.02192,                 2.2601,                 4.1405,                 2.6047,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.7999,                 1.9703,                 2.2708,                0.03138,                0.39394,                0.02877,                0.00977,                 2.5308,                 4.5475,                 3.0255,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.8879,                 2.1373,                 2.3704,                 0.0154,                 0.3803,                0.01502,                0.00406,                 2.9952,                 5.6005,                 3.8858,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.9567,                 2.2709,                  2.395,                0.01849,                0.41061,                0.01724,                0.00502,                 2.8279,                 6.8297,                 3.9984,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.8877,                 2.0464,                 2.3266,                0.02992,                0.58788,                0.03631,                0.01086,                 2.3979,                 8.5026,                  3.471,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.7861,                 2.1282,                 2.3145,                 0.0711,                0.53924,                0.08429,                 0.0303,                 2.2679,                  5.674,                 3.2443,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.8176,                 2.0582,                 2.3296,                0.04667,                0.28333,                0.07856,                0.02599,                 2.4217,                 2.7771,                 3.2926,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.8561,                  2.103,                 2.2896,                0.03012,                0.23038,                0.09212,                0.01807,                 2.5834,                  3.517,                 3.2535,               0.008911,               0.008911,               0.008911
                    112,                 1.8736,                 2.2485,                 2.3456,                0.14137,                0.31061,                0.11145,                0.03195,                 2.6315,                 2.9906,                 3.0503,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.6691,                 2.0506,                 2.2113,                0.19764,                0.51515,                0.21474,                0.06806,                 2.3793,                   2.69,                 2.7526,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.7812,                 2.0467,                 2.2999,                0.18164,                0.60297,                0.20923,                 0.0745,                 2.3358,                 2.9466,                 2.6768,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.8794,                 2.1418,                 2.3136,                0.19062,                0.48034,                0.19021,                0.05494,                 2.2941,                 3.4972,                 2.6417,              0.0088714,              0.0088714,              0.0088714
                    116,                  1.821,                 1.9957,                  2.303,                0.19354,                0.42424,                0.22166,                0.08506,                 2.1551,                 2.5782,                 2.4501,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.8011,                 2.0765,                 2.2935,                0.20262,                0.39143,                0.27998,                0.12926,                  1.907,                 2.5765,                 2.1693,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.8256,                 2.0006,                 2.3268,                 0.2345,                0.42424,                 0.2503,                0.10611,                 1.9008,                 2.5249,                 2.1572,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.7531,                 2.0612,                 2.2582,                0.12545,                0.20606,                0.10447,                0.03311,                 2.5504,                 3.2247,                 2.6544,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.6266,                 1.9801,                 2.1784,                0.03254,                0.31061,                0.04759,                0.01538,                 2.5215,                 3.5909,                 2.6811,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.7902,                 2.1324,                 2.1593,                0.13188,                0.32727,                0.15732,                0.06148,                 2.1715,                 2.8828,                 2.4357,               0.008812,               0.008812,               0.008812
                    122,                 1.8587,                 2.1947,                 2.3081,                0.24899,                0.39017,                 0.2431,                0.10712,                 1.8836,                 2.3075,                  2.189,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.7108,                 1.8969,                 2.1491,                0.27249,                0.39929,                0.34022,                0.16898,                 1.6411,                  2.049,                 1.9973,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.7934,                 1.9621,                 2.1788,                0.55269,                 0.6303,                0.54762,                0.26968,                 1.4923,                 1.7798,                 1.8614,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.7429,                 1.9194,                 2.1663,                0.54604,                0.62879,                0.57395,                0.25358,                 1.7242,                 1.7123,                 1.9975,              0.0087724,              0.0087724,              0.0087724
                    126,                  1.795,                 1.9575,                 2.1975,                0.62569,                0.65674,                0.59291,                0.28708,                 1.7124,                 1.6917,                 1.9944,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.7091,                 1.8973,                 2.0443,                0.53099,                  0.709,                0.60239,                0.31431,                 1.6493,                 1.8221,                 1.9502,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.8277,                 1.9933,                 2.1278,                0.38905,                0.77147,                0.57314,                0.27168,                 1.8406,                 1.9388,                 2.1081,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.8117,                 1.9073,                 2.2173,                0.67713,                0.44504,                0.47312,                0.18461,                 2.0448,                 2.3937,                 2.3368,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.6723,                 1.8942,                  2.109,                 0.7378,                0.43333,                0.53127,                 0.2136,                 2.0709,                 2.4776,                  2.322,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.8409,                 1.9571,                 2.2027,                0.67964,                0.46034,                0.46232,                0.18958,                 2.1084,                 2.5613,                 2.3774,               0.008713,               0.008713,               0.008713
                    132,                 1.6968,                 1.8777,                 2.0882,                0.73122,                0.41235,                0.64762,                0.29322,                 1.7954,                  1.886,                 2.0583,              0.0087031,              0.0087031,              0.0087031
                    133,                  1.737,                 1.8077,                 2.0908,                0.44671,                0.70308,                0.57466,                0.28281,                 1.7421,                 1.6992,                 2.0481,              0.0086932,              0.0086932,              0.0086932
