                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.8525,                 1.7541,                 2.6113,                0.03598,                 0.6018,                0.03332,                0.01004,                 2.7932,                 4.6885,                 4.2713,                0.00945,                0.00945,                0.00945
                     52,                 1.8812,                 1.7692,                 2.6244,                0.28446,                0.45253,                0.43225,                0.13093,                 2.5319,                 2.4452,                 3.2917,               0.009439,               0.009439,               0.009439
                     53,                 1.8571,                 1.7107,                  2.562,                0.60189,                0.33538,                   0.52,                 0.2368,                 2.0789,                 3.0212,                 2.7401,               0.009428,               0.009428,               0.009428
                     54,                 1.7519,                 1.7027,                 2.5583,                0.70756,                0.28309,                0.52858,                0.22012,                 1.9224,                  4.808,                  2.596,               0.009417,               0.009417,               0.009417
                     55,                 1.7077,                 1.6718,                 2.5038,                0.67271,                0.38725,                0.48228,                0.14845,                 2.1096,                 7.0393,                 2.7014,               0.009406,               0.009406,               0.009406
                     56,                 1.9206,                 1.8594,                 2.5873,                0.77414,                0.26628,                 0.5742,                0.23466,                 1.7352,                 5.2462,                 2.4088,               0.009395,               0.009395,               0.009395
                     57,                 1.7011,                  1.696,                 2.4679,                0.74063,                0.54861,                0.55544,                0.34192,                 1.3906,                 3.6813,                 2.2627,               0.009384,               0.009384,               0.009384
                     58,                 1.7098,                 1.5429,                  2.489,                0.54476,                0.53594,                0.43082,                0.24851,                 1.4997,                 6.1433,                 2.3764,               0.009373,               0.009373,               0.009373
                     59,                 1.7396,                 1.5895,                 2.5332,                 0.7297,                 0.5687,                0.77242,                0.35701,                 1.6952,                 3.8552,                 2.4416,               0.009362,               0.009362,               0.009362
                     60,                 1.7291,                 1.5567,                 2.5031,                0.89584,                0.43933,                0.70257,                0.35446,                 1.9779,                 2.0285,                 2.7801,               0.009351,               0.009351,               0.009351
                     61,                 1.7244,                 1.6216,                 2.4961,                0.45708,                0.42115,                0.48692,                0.30038,                 1.7034,                  2.822,                 2.5244,                0.00934,                0.00934,                0.00934
                     62,                 1.7987,                 1.5757,                 2.5135,                0.64222,                0.52614,                0.53307,                0.25992,                 1.9565,                 3.9619,                 2.7745,               0.009329,               0.009329,               0.009329
                     63,                  1.738,                 1.5332,                 2.4857,                0.71032,                0.51953,                 0.7793,                0.34313,                  1.878,                 4.6893,                 2.7482,               0.009318,               0.009318,               0.009318
                     64,                 1.8737,                 1.6593,                 2.5391,                0.43134,                0.75139,                0.70809,                0.41666,                 1.4792,                 8.4046,                 2.4802,               0.009307,               0.009307,               0.009307
                     65,                 1.7328,                 1.5364,                 2.4857,                0.28579,                0.64575,                0.37662,                 0.2182,                 1.6773,                 3.1854,                 2.5789,               0.009296,               0.009296,               0.009296
                     66,                 1.7631,                 1.6563,                 2.4765,                0.59235,                0.43213,                0.40304,                 0.1525,                 2.1526,                 3.0539,                 2.9381,               0.009285,               0.009285,               0.009285
                     67,                 1.8204,                 1.6354,                 2.5496,                0.76775,                0.30805,                0.40554,                0.17841,                   2.06,                 5.6194,                 2.8767,               0.009274,               0.009274,               0.009274
                     68,                 1.9291,                 1.6429,                 2.6755,                0.32736,                0.78717,                0.63597,                0.30362,                 1.5946,                 3.4947,                 2.4978,               0.009263,               0.009263,               0.009263
                     69,                 2.0228,                 1.8873,                 2.7676,                0.63291,                0.49649,                0.57091,                0.26986,                 1.8841,                 2.3386,                 2.6375,               0.009252,               0.009252,               0.009252
                     70,                 1.8651,                 1.6734,                 2.5682,                0.31182,                0.47925,                0.27125,                0.09357,                 2.2349,                 4.1084,                 2.9186,               0.009241,               0.009241,               0.009241
                     71,                 1.7099,                 1.5878,                 2.4785,                 0.6915,                0.41032,                0.35322,                0.15742,                 1.8139,                 3.6099,                 2.5217,                0.00923,                0.00923,                0.00923
                     72,                 1.8311,                 1.6727,                 2.5297,                0.83239,                0.14706,                0.10623,                0.02593,                 2.5845,                  5.218,                 3.7224,               0.009219,               0.009219,               0.009219
                     73,                  1.901,                  1.747,                 2.4964,                 0.3092,                0.61667,                0.49583,                0.16534,                 2.1482,                 4.5838,                 2.9526,               0.009208,               0.009208,               0.009208
                     74,                 1.7103,                 1.7316,                 2.4875,                 0.5991,                0.62002,                0.67134,                0.36828,                  1.484,                 2.7421,                 2.4426,               0.009197,               0.009197,               0.009197
                     75,                 1.6682,                  1.572,                 2.4568,                0.43051,                0.43571,                0.45899,                0.19793,                 1.7405,                 3.4244,                 2.5178,               0.009186,               0.009186,               0.009186
                     76,                 1.7228,                 1.6519,                 2.4187,                0.50068,                0.21275,                0.17156,                0.07509,                 2.4274,                 4.0457,                 3.2423,               0.009175,               0.009175,               0.009175
                     77,                 1.6657,                 1.4894,                 2.3931,                0.28604,                0.26528,                0.14262,                0.05026,                 2.5583,                 4.5946,                 3.3247,               0.009164,               0.009164,               0.009164
                     78,                 1.6894,                 1.5141,                 2.3972,                 0.2999,                 0.4527,                0.29654,                0.11691,                 2.4274,                 4.6701,                 3.1131,               0.009153,               0.009153,               0.009153
                     79,                 1.7294,                 1.6262,                 2.4074,                0.38012,                0.33595,                0.22946,                0.11482,                  2.069,                 4.2858,                 2.9656,               0.009142,               0.009142,               0.009142
                     80,                 1.5842,                 1.5283,                 2.3401,                0.46585,                0.74861,                0.58549,                0.32297,                 1.8099,                  2.745,                 2.7189,               0.009131,               0.009131,               0.009131
                     81,                 1.5516,                 1.3775,                 2.3114,                 0.4975,                0.48333,                 0.5126,                0.28302,                 1.6916,                 3.6187,                  2.515,                0.00912,                0.00912,                0.00912
                     82,                 1.6794,                 1.5447,                 2.3274,                0.62887,                0.57118,                 0.5927,                0.30089,                 1.7458,                 3.6713,                 2.5577,               0.009109,               0.009109,               0.009109
                     83,                 1.5852,                 1.4575,                 2.3188,                0.25982,                0.46806,                0.33364,                0.17607,                 1.9199,                 2.8848,                 2.7487,               0.009098,               0.009098,               0.009098
                     84,                 1.5828,                 1.4851,                 2.3675,                 0.2166,                0.33304,                0.27133,                0.13226,                 2.0562,                 3.3667,                 2.8901,               0.009087,               0.009087,               0.009087
                     85,                 1.6433,                 1.5212,                 2.3782,                0.42327,                  0.661,                0.47873,                0.23552,                 1.8888,                 3.8432,                   2.63,               0.009076,               0.009076,               0.009076
                     86,                 1.5436,                  1.284,                 2.3467,                0.48237,                 0.2598,                0.13898,                0.05575,                 2.8382,                  5.409,                 3.8642,               0.009065,               0.009065,               0.009065
                     87,                 1.5839,                 1.3899,                 2.3523,                0.04775,                0.23873,                0.05312,                0.01845,                 2.8702,                  4.628,                 4.4772,               0.009054,               0.009054,               0.009054
                     88,                 1.6389,                 1.4556,                  2.337,                0.51781,                0.73794,                0.75272,                0.41225,                 1.5905,                 2.2362,                 2.3508,               0.009043,               0.009043,               0.009043
